Country,Airport,CityServed,Continent,PhotoURL
Mexico,Mexico City International Airport,Mexico_City,Latin America,http://localhost:3000/assets/images/cities/mexico_city.jpg
Brazil,São Paulo/Guarulhos International Airport,Sao_Paulo,Latin America,http://localhost:3000/assets/images/cities/sao_paulo.jpg
Colombia,El Dorado International Airport,Bogota,Latin America,http://localhost:3000/assets/images/cities/bogota.jpg
Mexico,Cancún International Airport,Cancun,Latin America,http://localhost:3000/assets/images/cities/cancun.jpg
Chile,Arturo Merino Benítez International Airport,Santiago,Latin America,http://localhost:3000/assets/images/cities/santiago.jpg
Peru,Jorge Chávez International Airport,Lima,Latin America,http://localhost:3000/assets/images/cities/lima.jpg
Brazil,São Paulo–Congonhas Airport,Sao_Paulo,Latin America,http://localhost:3000/assets/images/cities/sao_paulo.jpg
Mexico,Guadalajara International Airport,Guadalajara,Latin America,http://localhost:3000/assets/images/cities/guadalajara.jpg
Panama,Tocumen International Airport,Panama_City,Latin America,http://localhost:3000/assets/images/cities/panama_city.jpg
Argentina,Aeroparque Jorge Newbery,Buenos_Aires,Latin America,http://localhost:3000/assets/images/cities/buenos_aires.jpg
Brazil,Brasília International Airport,Brasilia,Latin America,http://localhost:3000/assets/images/cities/brasilia.jpg
Mexico,Tijuana International Airport,Tijuana,Latin America,http://localhost:3000/assets/images/cities/tijuana.jpg
Mexico,Monterrey International Airport,Monterrey,Latin America,http://localhost:3000/assets/images/cities/monterrey.jpg
Puerto Rico,Luis Muñoz Marín International Airport,San_Juan,Latin America,http://localhost:3000/assets/images/cities/san_juan.jpg
Brazil,Viracopos International Airport,Campinas,Latin America,http://localhost:3000/assets/images/cities/campinas.jpg
Brazil,Santos Dumont Airport,Rio_de_Janeiro,Latin America,http://localhost:3000/assets/images/cities/rio_de_janeiro.jpg
Colombia,José María Córdova International Airport,Medellin,Latin America,http://localhost:3000/assets/images/cities/medellin.jpg
Brazil,Belo Horizonte International Airport,Belo_Horizonte,Latin America,http://localhost:3000/assets/images/cities/belo_horizonte.jpg
Argentina,Ministro Pistarini International Airport,Buenos_Aires,Latin America,http://localhost:3000/assets/images/cities/buenos_aires.jpg
Dominican Republic,Punta Cana International Airport,Punta_Cana,Latin America,http://localhost:3000/assets/images/cities/punta_cana.jpg
Brazil,Recife/Guararapes–Gilberto Freyre International Airport,Recife,Latin America,http://localhost:3000/assets/images/cities/recife.jpg
Mexico,Los Cabos International Airport,Los_Cabos,Latin America,http://localhost:3000/assets/images/cities/los_cabos.jpg
Brazil,Salgado Filho Porto Alegre International Airport,Porto_Alegre,Latin America,http://localhost:3000/assets/images/cities/porto_alegre.jpg
Brazil,Salvador International Airport,Salvador,Latin America,http://localhost:3000/assets/images/cities/salvador.jpg
Brazil,Rio de Janeiro-Galeão International Airport,Rio_de_Janeiro,Latin America,http://localhost:3000/assets/images/cities/rio_de_janeiro.jpg
Mexico,Puerto Vallarta International Airport,Puerto_Vallarta,Latin America,http://localhost:3000/assets/images/cities/puerto_vallarta.jpg
Colombia,Alfonso Bonilla Aragón International Airport,Cali,Latin America,http://localhost:3000/assets/images/cities/cali.jpg
Colombia,Rafael Nunez International Airport,Cartagena,Latin America,http://localhost:3000/assets/images/cities/cartagena.jpg
Costa Rica,Juan Santamaría International Airport,San_Jose,Latin America,http://localhost:3000/assets/images/cities/san_jose.jpg
Brazil,Fortaleza International Airport,Fortaleza,Latin America,http://localhost:3000/assets/images/cities/fortaleza.jpg
Dominican Republic,Las Americas International Airport,Santo_Domingo,Latin America,http://localhost:3000/assets/images/cities/santo_domingo.jpg
